Match ID, start time, Game Duration,Game Mode, queueid, Game type, Game Version,Participant ID,Champion Name,Kills,Deaths,Assists,Gold Earned,Summoner Spell 1,Summoner Spell 2,First Blood Kill,Damage Dealt to Buildings,Game Ended in Surrender,Largest Multi Kill,Longest Time Spent Living,Total Minions Killed,Total Damage Dealt to Champions,Time CCing Others,Detector Wards Placed,Vision Score,Win
EUW1_6911647246,1713803562439,1488,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,3,9,4,7845,ghost,flash,True,1708,False,1,326,126,14193,12,0,11,False
EUW1_6911447085,1713794846133,1395,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,4,8,0,8574,exhaust,flash,False,3281,False,1,453,131,11515,19,0,7,False
EUW1_6911401591,1713792315823,1992,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,6,10,11,14587,ghost,flash,False,3477,False,1,449,179,25287,15,1,14,False
EUW1_6911344108,1713789538665,2472,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,5,13,13,14871,exhaust,flash,False,2751,False,1,382,239,26043,28,2,30,False
EUW1_6911296978,1713786574525,1823,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,4,5,5,11083,exhaust,flash,False,4201,False,1,580,181,13484,19,0,14,True
EUW1_6911259722,1713783989083,2312,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,11,8,10,16650,ghost,flash,False,7109,False,2,755,231,40836,29,1,27,True
EUW1_6911218681,1713781110026,2649,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,11,10,12,19120,ghost,flash,False,8798,False,2,600,281,35737,16,1,35,True
EUW1_6911153063,1713776557108,1838,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,4,MissFortune,5,11,1,13410,heal,flash,True,745,False,1,319,234,24864,9,1,16,False
EUW1_6911136149,1713775113567,971,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,4,Xayah,2,2,4,5311,ghost,flash,False,742,True,1,467,93,4657,7,0,4,True
EUW1_6910927335,1713748987881,2554,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,4,Xayah,15,15,13,17775,ghost,flash,False,2115,False,2,517,195,39968,28,0,15,False
EUW1_6910925482,1713747595457,924,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,1,7,0,3793,ghost,flash,False,198,True,1,251,68,5167,12,0,4,False
EUW1_6910900543,1713745300714,1949,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,4,8,10,12730,ghost,flash,False,7583,False,1,693,201,18100,15,0,18,False
